"Region_name","year","GDHI_pc"
"Wales","2019","17300"
"Wales","2020","17668"
"Wales","2021","18015"
"Wales","2022","18652"
"Scotland","1997","9581"
"Scotland","1998","9792"
"Scotland","1999","10156"
"Scotland","2000","10751"
"Scotland","2001","11286"
"Scotland","2002","11689"
"Scotland","2003","12081"
"Scotland","2004","12664"
"Scotland","2005","13089"
"Scotland","2006","13704"
"Scotland","2007","14415"
"Scotland","2008","15021"
"Scotland","2009","15214"
"Scotland","2010","15417"
"Scotland","2011","15711"
"Scotland","2012","16198"
"Scotland","2013","16777"
"Scotland","2014","17192"
"Scotland","2015","17717"
"Scotland","2016","17859"
"Scotland","2017","18199"
"Scotland","2018","18692"
"Scotland","2019","19391"
"Scotland","2020","19339"
"Scotland","2021","19872"
"Scotland","2022","20854"
"Northern Ireland","1997","8567"
"Northern Ireland","1998","8590"
"Northern Ireland","1999","8919"
"Northern Ireland","2000","9383"
"Northern Ireland","2001","9641"
"Northern Ireland","2002","10173"
"Northern Ireland","2003","10643"
"Northern Ireland","2004","11241"
"Northern Ireland","2005","11814"
"Northern Ireland","2006","12403"
"Northern Ireland","2007","12659"
"Northern Ireland","2008","12869"
"Northern Ireland","2009","13041"
"Northern Ireland","2010","13226"
"Northern Ireland","2011","13519"
"Northern Ireland","2012","13749"
"Northern Ireland","2013","14305"
"Northern Ireland","2014","14760"
"Northern Ireland","2015","15248"
"Northern Ireland","2016","15480"
"Northern Ireland","2017","15965"
"Northern Ireland","2018","16347"
"Northern Ireland","2019","16871"
"Northern Ireland","2020","16992"
"Northern Ireland","2021","17635"
"Northern Ireland","2022","18685"
